date,title,news_url,fact_check_url,real_or_fake,claim_id
,"How to wash fruits and vegetables? Just with water, or something else?",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-food-safety-for-consumers,who.int,real,100374
,Can the virus live on the surface of food packaging? How long? Is it necessary to disinfect?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-food-safety-for-consumers,who.int,real,100375
,How long is it to cook food? To what temperature to kill the virus?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-food-safety-for-consumers,who.int,real,100376
,What precautions should consumers take in grocery stores?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-food-safety-for-consumers,who.int,real,100377
,Is food/grocery delivery safe?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-food-safety-for-consumers,who.int,real,100378
,What is the best household disinfectant for surfaces?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-food-safety-for-consumers,who.int,real,100379
,Is it still safe to go to food markets? Animal markets? Wet markets?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-food-safety-for-consumers,who.int,real,100380
,Can someone who has tested positive for COVID-19 be cared for at home?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-home-care-for-families-and-caregivers,who.int,real,100381
,What should be done to prevent other people in the house from becoming sick if a person with COVID-19 is being cared for at home?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-home-care-for-families-and-caregivers,who.int,real,100382
,How long should people with COVID-19 stay at home and in isolation?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-home-care-for-families-and-caregivers,who.int,real,100383
,When should a patient with COVID-19 be cared for at home?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-home-care-for-health-workers-and-administrators,who.int,real,100384
,What factors determine whether a COVID-19 patient can be cared for at home?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-home-care-for-health-workers-and-administrators,who.int,real,100385
,What additional factors should be taken into consideration when assessing the home setting to determine if it is safe for patients and families to remain at home?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-home-care-for-health-workers-and-administrators,who.int,real,100386
,What precautions should health workers take when providing care to patients in home settings?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-home-care-for-health-workers-and-administrators,who.int,real,100387
,Could pregnant women be cared for at home if they have COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-home-care-for-health-workers-and-administrators,who.int,real,100388
,Can children be cared for at home if they have COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-home-care-for-health-workers-and-administrators,who.int,real,100389
,How does COVID-19 spread between people?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-how-is-it-transmitted,who.int,real,100390
,When do infected people transmit the virus?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-how-is-it-transmitted,who.int,real,100391
,What is the difference between people who are asymptomatic or pre-symptomatic? Don’t they both mean someone without symptoms?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-how-is-it-transmitted,who.int,real,100392
,Are there certain settings where COVID-19 can spread more easily?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-how-is-it-transmitted,who.int,real,100393
,How can I reduce my risk of getting COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-how-is-it-transmitted,who.int,real,100394
,How many malaria-affected countries have reported cases of COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-19,who.int,real,100395
,Should core malaria vector control interventions be maintained in view of the rapid global spread of COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-20,who.int,real,100396
,Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-21,who.int,real,100397
,Are there any changes to WHO guidance with respect to malaria diagnosis and treatment?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-22,who.int,real,100398
,What additional special measures may be needed in the context of COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-23,who.int,real,100399
,What are the key considerations for countries that are working to eliminate malaria or prevent re-establishment of transmission?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-24,who.int,real,100400
,Why is WHO particularly concerned about the spread of COVID-19 in malaria-affected areas?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-25,who.int,real,100401
,Have there been disruptions in the global supply of key malaria-related commodities as a result of the COVID-19 pandemic?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-26,who.int,real,100402
,What is WHO’s position on the use of chloroquine and hydroxychloroquine in the context of the COVID-19 response?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-27,who.int,real,100403
,What is WHO’s position on the use of Artemisia plant material for the prevention or treatment of malaria and/or COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-28,who.int,real,100404
,What is WHO doing to support malaria-affected countries in the context of COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-malaria-and-covid-29,who.int,real,100405
,"I am ATTENDING a small gathering or an event such as a wedding, a party or sports tournament. What precautions should I take to protect myself and others from getting infected with COVID-19?",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-small-public-gatherings,who.int,real,100406
,"I am ORGANIZING a small gathering or an event such as a wedding, a party or sports tournament. What precautions should I take to prevent the spread of COVID-19 among guests?",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-small-public-gatherings,who.int,real,100407
,What precautions should everyone take in a hotel or other accommodation establishment?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-staying-at-hotels-and-accommodation-establishments,who.int,real,100408
,Are pools and water areas safe to use?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-staying-at-hotels-and-accommodation-establishments,who.int,real,100409
,Are there precautions to take while eating in a restaurant?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-staying-at-hotels-and-accommodation-establishments,who.int,real,100410
,Is it safe to use fans or air conditioning in an accommodation?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-staying-at-hotels-and-accommodation-establishments,who.int,real,100411
,Can you get the virus from people who were in the room previous to you?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-staying-at-hotels-and-accommodation-establishments,who.int,real,100412
,What should travelers do if they get sick while at an accommodation facility?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-staying-at-hotels-and-accommodation-establishments,who.int,real,100413
,What precautions should I take during travel?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100414
,Who should not travel?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100415
,What is meant by “essential travel”?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100416
,"If I feel well but am in the high-risk category, should I travel?",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100417
,How can ventilation reduce the risk of contracting COVID-19 in airplanes?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100418
,The travel company is asking me to wear a mask while traveling. Which kind of mask should I use?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100419
,Should I get an immunity certificate before travelling?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100420
,Could I be screened when I exit or arrive at my destination?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100421
,Should I use a digital contact tracing app while traveling?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100422
,Should I get a test before departure or upon arrival?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100423
,What happens if I have symptoms when arriving at my destination?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100424
,What should I do after arriving at my destination?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100425
,What should I do if I get sick while traveling?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-travel-advice-for-the-general-public,who.int,real,100426
,What is ventilation?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning,who.int,real,100427
,What is WHO doing to address ventilation in the context of COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning,who.int,real,100428
,Can I use air conditioning in the context of COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning,who.int,real,100429
,Can fans be used safely in indoor spaces?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning,who.int,real,100430
,How can ventilation reduce the risk of contracting COVID-19 in airplanes?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning,who.int,real,100431
,What is WHO doing to address ventilation in the context of COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning-in-health-facilities,who.int,real,100432
,What are the recommended air ventilation requirements for health facilities?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning-in-health-facilities,who.int,real,100433
,Can the use of air conditioning increase the risk of SARS-CoV-2 transmission in health facilities?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning-in-health-facilities,who.int,real,100434
,Can fans be used in health facilities?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning-in-health-facilities,who.int,real,100435
,What medical procedures are considered aerosol generating in health facilities?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning-in-health-facilities,who.int,real,100436
,What is ventilation?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning-in-public-spaces-and-buildings,who.int,real,100437
,What is WHO doing to address ventilation in the context of COVID-19?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning-in-public-spaces-and-buildings,who.int,real,100438
,What steps can be undertaken to improve the ventilation in indoor public spaces and buildings?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning-in-public-spaces-and-buildings,who.int,real,100439
,"Are there any recommendations for offices, schools and the accommodation sector regarding ventilation and air conditioning use?",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning-in-public-spaces-and-buildings,who.int,real,100440
,What can staff do to stay safe while working at a hotel or other accommodation establishment?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-working-in-hotels,who.int,real,100441
,Should staff wear a mask while working?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-working-in-hotels,who.int,real,100442
,What should staff do if a guest becomes sick at an accommodation establishment?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-working-in-hotels,who.int,real,100443
,What should staff do if they have symptoms?,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-working-in-hotels,who.int,real,100444
,Thermal scanners CANNOT detect COVID-19,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,who.int,real,100445
,Drinking alcohol does not protect you against COVID-19 and can be dangerous,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,who.int,real,100446
,Most people who get COVID-19 recover from it,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,who.int,real,100447
,"The prolonged use of medical masks* when properly worn, DOES NOT cause CO2 intoxication nor oxygen deficiency",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,who.int,real,100448
,"The coronavirus disease (COVID-19) is caused by a virus, NOT by bacteria",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,who.int,real,100449
,The likelihood of shoes spreading COVID-19 is very low,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,who.int,real,100450
,People should NOT wear masks while exercising ,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,who.int,real,100451
,Studies show hydroxychloroquine does not have clinical benefits in treating COVID-19 ,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,who.int,real,100452
,Vitamin and mineral supplements cannot cure COVID-19,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,who.int,real,100453
,"""Spraying chlorine or alcohol on the skin kills viruses in the body""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100000
,"""Only older adults and young people are at risk""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100001
,"""Children cannot get COVID-19""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100002
,"""COVID-19 is just like the flu""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100003
,"""Everyone with COVID-19 dies""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100004
,"""Cats and dogs spread coronavirus""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100005
,"""Face masks always protect against coronavirus""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100006
,"""Hand dryers kill coronavirus""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100007
,"""SARS-CoV-2 is just a mutated form of the common cold""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100008
,"""You have to be with someone for 10 minutes to catch the virus""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100009
,"""Rinsing the nose with saline protects against coronavirus""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100010
,"""You can protect yourself by gargling bleach""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100011
,"""Antibiotics kill coronavirus""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100012
,"""Thermal scanners can diagnose coronavirus""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100013
,"""Garlic protects against coronaviruses""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100014
,"""Parcels from China can spread coronavirus""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100015
,"""Home remedies can cure and protect against COVID-19""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100016
,"""You can catch coronavirus from eating Chinese food in the US""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100017
,"""You can catch coronavirus from urine and feces""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100018
,"""The virus will die off when temperatures rise in the spring""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100019
,"""Coronavirus is the deadliest virus known to humans""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100020
,"""Flu and pneumonia vaccines can protect against COVID-19""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100021
,"""The virus originated in a laboratory in China""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100022
,"""The outbreak began because people ate bat soup""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100023
,"""5G helps SARS-CoV-2 spread""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100024
,"""Drinking alcohol reduces the risk of infection""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100025
,"""Injecting or consuming bleach or disinfectant kills the virus""",https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,medicalnewstoday.com,fake,100026
